0.0,0.0,0.0
1.0,0.0,100.0
2.0,0.0,200.0
3.0,0.0,300.0
4.0,0.0,400.0
5.0,0.0,500.0
6.0,0.0,600.0
7.0,0.0,700.0
8.0,0.0,800.0
9.0,0.0,900.0
10.0,100.0,0.0
11.0,100.0,100.0
12.0,100.0,200.0
13.0,100.0,300.0
14.0,100.0,400.0
15.0,100.0,500.0
16.0,100.0,600.0
17.0,100.0,700.0
18.0,100.0,800.0
19.0,100.0,900.0
20.0,200.0,0.0
21.0,200.0,100.0
22.0,200.0,200.0
23.0,200.0,300.0
24.0,200.0,400.0
25.0,200.0,500.0
26.0,200.0,600.0
27.0,200.0,700.0
28.0,200.0,800.0
29.0,200.0,900.0
30.0,300.0,0.0
31.0,300.0,100.0
32.0,300.0,200.0
33.0,300.0,300.0
34.0,300.0,400.0
35.0,300.0,500.0
36.0,300.0,600.0
37.0,300.0,700.0
38.0,300.0,800.0
39.0,300.0,900.0
40.0,400.0,0.0
41.0,400.0,100.0
42.0,400.0,200.0
43.0,400.0,300.0
44.0,400.0,400.0
45.0,400.0,500.0
46.0,400.0,600.0
47.0,400.0,700.0
48.0,400.0,800.0
49.0,400.0,900.0
50.0,500.0,0.0
51.0,500.0,100.0
52.0,500.0,200.0
53.0,500.0,300.0
54.0,500.0,400.0
55.0,500.0,500.0
56.0,500.0,600.0
57.0,500.0,700.0
58.0,500.0,800.0
59.0,500.0,900.0
60.0,600.0,0.0
61.0,600.0,100.0
62.0,600.0,200.0
63.0,600.0,300.0
64.0,600.0,400.0
65.0,600.0,500.0
66.0,600.0,600.0
67.0,600.0,700.0
68.0,600.0,800.0
69.0,600.0,900.0
70.0,700.0,0.0
71.0,700.0,100.0
72.0,700.0,200.0
73.0,700.0,300.0
74.0,700.0,400.0
75.0,700.0,500.0
76.0,700.0,600.0
77.0,700.0,700.0
78.0,700.0,800.0
79.0,700.0,900.0
80.0,800.0,0.0
81.0,800.0,100.0
82.0,800.0,200.0
83.0,800.0,300.0
84.0,800.0,400.0
85.0,800.0,500.0
86.0,800.0,600.0
87.0,800.0,700.0
88.0,800.0,800.0
89.0,800.0,900.0
90.0,900.0,0.0
91.0,900.0,100.0
92.0,900.0,200.0
93.0,900.0,300.0
94.0,900.0,400.0
95.0,900.0,500.0
96.0,900.0,600.0
97.0,900.0,700.0
98.0,900.0,800.0
99.0,900.0,900.0
